tBTCUSD
tLTCUSD
tETHUSD
tETCUSD
tRRTUSD
tZECUSD
tXMRUSD
tDSHUSD
tBCCUSD
tBCUUSD
tXRPUSD
tIOTUSD
tEOSUSD
tSANUSD
tOMGUSD
tBCHUSD
